,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,first_name,height_feet,height_inches,last_name,position,weight_pounds,team_id,team_abr,city,height
0,0,0,0,0,0,14,Ike,,,Anigbogu,C,,12,IND,Indiana,
1,1,1,1,1,1,25,Ron,,,Baker,G,,20,NYK,New York,
2,2,2,2,2,2,47,Jabari,,,Bird,G,,2,BOS,Boston,
3,3,3,3,3,3,67,MarShon,,,Brooks,G,,15,MEM,Memphis,
4,4,4,4,4,4,71,Lorenzo,,,Brown,G,,28,TOR,Toronto,
5,5,5,5,5,5,90,Omri,,,Casspi,F,,15,MEM,Memphis,
6,6,6,6,6,6,1,Alex,6.0,6.0,Abrines,G,200.0,21,OKC,Oklahoma City,78.0
7,7,7,7,7,7,119,Tyler,,,Davis,C,,21,OKC,Oklahoma City,
8,8,8,8,8,8,149,Keenan,,,Evans,G,,9,DET,Detroit,
9,9,9,9,9,9,179,Marcin,,,Gortat,C,,13,LAC,LA,
10,10,10,10,10,10,1593,Andrew,,,Bogut,F,,10,GSW,Golden State,
11,11,11,11,11,11,241,Amir,6.0,9.0,Johnson,C-F,240.0,23,PHI,Philadelphia,81.0
12,12,12,12,12,12,392,Malachi,,,Richardson,G,,29,UTA,Utah,
13,13,13,13,13,13,281,Zach,,,Lofton,G,,9,DET,Detroit,
14,14,14,14,14,14,263,Kosta,7.0,0.0,Koufos,C,245.0,26,SAC,Sacramento,84.0
15,15,15,15,15,15,382,Billy,,,Preston,F,,6,CLE,Cleveland,
16,16,16,16,16,16,384,Zhou,,,Qi,F-C,,11,HOU,Houston,
17,17,17,17,17,17,388,Zach,,,Randolph,F,,26,SAC,Sacramento,
18,18,18,18,18,18,430,DJ,,,Stephens,G-F,,15,MEM,Memphis,
19,19,19,19,19,19,437,Milos,,,Teodosic,G,,13,LAC,LA,
20,20,20,20,20,20,448,Gary,,,Trent Jr.,G,,25,POR,Portland,
21,21,21,21,21,21,494,Michael,,,Smith,,,2,BOS,Boston,
22,22,22,22,22,22,495,John,,,Morton,,,6,CLE,Cleveland,
23,23,23,23,23,23,496,Howard,,,Wright,,,1,ATL,Atlanta,
24,24,24,24,24,24,497,Michael,,,Ansley,,,22,ORL,Orlando,
25,25,25,25,25,25,498,John,,,Salley,,,9,DET,Detroit,
26,26,26,26,26,26,499,Dan,,,Schayes,,,17,MIL,Milwaukee,
27,27,27,27,27,27,500,Mark,,,Eaton,,,29,UTA,Utah,
28,28,28,28,28,28,501,Kevin,,,Johnson,,,24,PHX,Phoenix,
29,29,29,29,29,29,502,Danny,,,Ainge,,,25,POR,Portland,
30,30,30,30,30,30,503,Kenny,,,Smith,,,11,HOU,Houston,
31,31,31,31,31,31,504,Randy,,,Breuer,,,18,MIN,Minnesota,
32,32,32,32,32,32,505,Herb,,,Williams,,,7,DAL,Dallas,
33,33,33,33,33,33,506,Joe,,,Wolf,,,8,DEN,Denver,
34,34,34,34,34,34,507,Steve,,,Johnson,,,10,GSW,Golden State,
35,35,35,35,35,35,508,Glen,,,Rice,,,16,MIA,Miami,
36,36,36,36,36,36,509,Greg,,,Foster,,,30,WAS,Washington,
37,37,37,37,37,37,510,Larry,,,Nance,,,6,CLE,Cleveland,
38,38,38,38,38,38,511,Duane,,,Ferrell,,,1,ATL,Atlanta,
39,39,39,39,39,39,512,Nick,,,Anderson,,,22,ORL,Orlando,
40,40,40,40,40,40,513,Joe,,,Dumars,,,9,DET,Detroit,
41,41,41,41,41,41,514,Jay,,,Humphries,,,17,MIL,Milwaukee,
42,42,42,42,42,42,515,Darrell,,,Griffith,,,29,UTA,Utah,
43,43,43,43,43,43,516,Dan,,,Majerle,,,24,PHX,Phoenix,
44,44,44,44,44,44,517,Tom,,,Chambers,,,24,PHX,Phoenix,
45,45,45,45,45,45,518,Alaa,,,Abdelnaby,,,25,POR,Portland,
46,46,46,46,46,46,519,Adrian,,,Caldwell,,,11,HOU,Houston,
47,47,47,47,47,47,520,Vernon,,,Maxwell,,,11,HOU,Houston,
48,48,48,48,48,48,521,Doug,,,West,,,18,MIN,Minnesota,
49,49,49,49,49,49,522,Tony,,,Campbell,,,18,MIN,Minnesota,
50,50,50,50,50,50,523,Roy,,,Tarpley,,,7,DAL,Dallas,
51,51,51,51,51,51,524,Anthony,,,Cook,,,8,DEN,Denver,
52,52,52,52,52,52,525,Todd,,,Lichti,,,8,DEN,Denver,
53,53,53,53,53,53,526,Tom,,,Tolbert,,,10,GSW,Golden State,
54,54,54,54,54,54,527,Billy,,,Thompson,,,16,MIA,Miami,
55,55,55,55,55,55,528,Byron,,,Irvin,,,30,WAS,Washington,
56,56,56,56,56,56,529,Mark,,,Price,,,6,CLE,Cleveland,
57,57,57,57,57,57,530,Dominique,,,Wilkins,,,1,ATL,Atlanta,
58,58,58,58,58,58,531,Dennis,,,Scott,,,22,ORL,Orlando,
59,59,59,59,59,59,532,Terry,,,Catledge,,,22,ORL,Orlando,
60,60,60,60,60,60,533,Bill,,,Laimbeer,,,9,DET,Detroit,
61,61,61,61,61,61,534,William,,,Bedford,,,9,DET,Detroit,
62,62,62,62,62,62,535,Ricky,,,Pierce,,,17,MIL,Milwaukee,
63,63,63,63,63,63,536,Blue,,,Edwards,,,29,UTA,Utah,
64,64,64,64,64,64,537,Walter,,,Palmer,,,29,UTA,Utah,
65,65,65,65,65,65,538,Mark,,,West,,,24,PHX,Phoenix,
66,66,66,66,66,66,539,Clifford,,,Robinson,,,25,POR,Portland,
67,67,67,67,67,67,540,Hakeem,,,Olajuwon,,,11,HOU,Houston,
68,68,68,68,68,68,541,Richard,,,Coffey,,,18,MIN,Minnesota,
69,69,69,69,69,69,542,James,,,Donaldson,,,7,DAL,Dallas,
70,70,70,70,70,70,543,Jerome,,,Lane,,,8,DEN,Denver,
71,71,71,71,71,71,544,Sarunas,,,Marciulionis,,,10,GSW,Golden State,
72,72,72,72,72,72,545,Grant,,,Long,,,16,MIA,Miami,
73,73,73,73,73,73,546,Willie,,,Burton,,,16,MIA,Miami,
74,74,74,74,74,74,547,Mark,,,Alarie,,,30,WAS,Washington,
75,75,75,75,75,75,548,Winston,,,Bennett,,,6,CLE,Cleveland,
76,76,76,76,76,76,549,Doc,,,Rivers,,,1,ATL,Atlanta,
77,77,77,77,77,77,550,Tim,,,McCormick,,,1,ATL,Atlanta,
78,78,78,78,78,78,551,Scott,,,Skiles,,,22,ORL,Orlando,
79,79,79,79,79,79,552,Dennis,,,Rodman,,,9,DET,Detroit,
80,80,80,80,80,80,553,Greg,,,Anderson,,,17,MIL,Milwaukee,
81,81,81,81,81,81,554,Jeff,,,Malone,,,29,UTA,Utah,
82,82,82,82,82,82,555,Cedric,,,Ceballos,,,24,PHX,Phoenix,
83,83,83,83,83,83,556,Tim,,,Perry,,,24,PHX,Phoenix,
84,84,84,84,84,84,557,Buck,,,Williams,,,25,POR,Portland,
85,85,85,85,85,85,558,Dave,,,Jamerson,,,11,HOU,Houston,
86,86,86,86,86,86,559,Scott,,,Brooks,,,18,MIN,Minnesota,
87,87,87,87,87,87,560,Rolando,,,Blackman,,,7,DAL,Dallas,
88,88,88,88,88,88,561,Avery,,,Johnson,,,8,DEN,Denver,
89,89,89,89,89,89,562,Rod,,,Higgins,,,10,GSW,Golden State,
90,90,90,90,90,90,563,Jon,,,Sundvold,,,16,MIA,Miami,
91,91,91,91,91,91,564,A.J.,,,English,,,30,WAS,Washington,
92,92,92,92,92,92,565,John,,,Battle,,,1,ATL,Atlanta,
93,93,93,93,93,93,566,Sam,,,Vincent,,,22,ORL,Orlando,
94,94,94,94,94,94,567,Isiah,,,Thomas,,,9,DET,Detroit,
95,95,95,95,95,95,568,Brad,,,Lohaus,,,17,MIL,Milwaukee,
96,96,96,96,96,96,569,Mike,,,Brown,,,29,UTA,Utah,
97,97,97,97,97,97,570,Kenny,,,Battle,,,24,PHX,Phoenix,
98,98,98,98,98,98,571,Danny,,,Young,,,25,POR,Portland,
99,99,99,99,99,99,572,Larry,,,Smith,,,11,HOU,Houston,
100,100,100,100,100,100,14,Ike,,,Anigbogu,C,,12,IND,Indiana,
101,101,101,101,101,101,25,Ron,,,Baker,G,,20,NYK,New York,
102,102,102,102,102,102,47,Jabari,,,Bird,G,,2,BOS,Boston,
103,103,103,103,103,103,67,MarShon,,,Brooks,G,,15,MEM,Memphis,
104,104,104,104,104,104,71,Lorenzo,,,Brown,G,,28,TOR,Toronto,
105,105,105,105,105,105,90,Omri,,,Casspi,F,,15,MEM,Memphis,
106,106,106,106,106,106,1,Alex,6.0,6.0,Abrines,G,200.0,21,OKC,Oklahoma City,78.0
107,107,107,107,107,107,119,Tyler,,,Davis,C,,21,OKC,Oklahoma City,
108,108,108,108,108,108,149,Keenan,,,Evans,G,,9,DET,Detroit,
109,109,109,109,109,109,179,Marcin,,,Gortat,C,,13,LAC,LA,
110,110,110,110,110,110,1593,Andrew,,,Bogut,F,,10,GSW,Golden State,
111,111,111,111,111,111,241,Amir,6.0,9.0,Johnson,C-F,240.0,23,PHI,Philadelphia,81.0
112,112,112,112,112,112,392,Malachi,,,Richardson,G,,29,UTA,Utah,
113,113,113,113,113,113,281,Zach,,,Lofton,G,,9,DET,Detroit,
114,114,114,114,114,114,263,Kosta,7.0,0.0,Koufos,C,245.0,26,SAC,Sacramento,84.0
115,115,115,115,115,115,382,Billy,,,Preston,F,,6,CLE,Cleveland,
116,116,116,116,116,116,384,Zhou,,,Qi,F-C,,11,HOU,Houston,
117,117,117,117,117,117,388,Zach,,,Randolph,F,,26,SAC,Sacramento,
118,118,118,118,118,118,430,DJ,,,Stephens,G-F,,15,MEM,Memphis,
119,119,119,119,119,119,437,Milos,,,Teodosic,G,,13,LAC,LA,
120,120,120,120,120,120,448,Gary,,,Trent Jr.,G,,25,POR,Portland,
121,121,121,121,121,121,494,Michael,,,Smith,,,2,BOS,Boston,
122,122,122,122,122,122,495,John,,,Morton,,,6,CLE,Cleveland,
123,123,123,123,123,123,496,Howard,,,Wright,,,1,ATL,Atlanta,
124,124,124,124,124,124,497,Michael,,,Ansley,,,22,ORL,Orlando,
125,125,125,125,125,125,498,John,,,Salley,,,9,DET,Detroit,
126,126,126,126,126,126,499,Dan,,,Schayes,,,17,MIL,Milwaukee,
127,127,127,127,127,127,500,Mark,,,Eaton,,,29,UTA,Utah,
128,128,128,128,128,128,501,Kevin,,,Johnson,,,24,PHX,Phoenix,
129,129,129,129,129,129,502,Danny,,,Ainge,,,25,POR,Portland,
130,130,130,130,130,130,503,Kenny,,,Smith,,,11,HOU,Houston,
131,131,131,131,131,131,504,Randy,,,Breuer,,,18,MIN,Minnesota,
132,132,132,132,132,132,505,Herb,,,Williams,,,7,DAL,Dallas,
133,133,133,133,133,133,506,Joe,,,Wolf,,,8,DEN,Denver,
134,134,134,134,134,134,507,Steve,,,Johnson,,,10,GSW,Golden State,
135,135,135,135,135,135,508,Glen,,,Rice,,,16,MIA,Miami,
136,136,136,136,136,136,509,Greg,,,Foster,,,30,WAS,Washington,
137,137,137,137,137,137,510,Larry,,,Nance,,,6,CLE,Cleveland,
138,138,138,138,138,138,511,Duane,,,Ferrell,,,1,ATL,Atlanta,
139,139,139,139,139,139,512,Nick,,,Anderson,,,22,ORL,Orlando,
140,140,140,140,140,140,513,Joe,,,Dumars,,,9,DET,Detroit,
141,141,141,141,141,141,514,Jay,,,Humphries,,,17,MIL,Milwaukee,
142,142,142,142,142,142,515,Darrell,,,Griffith,,,29,UTA,Utah,
143,143,143,143,143,143,516,Dan,,,Majerle,,,24,PHX,Phoenix,
144,144,144,144,144,144,517,Tom,,,Chambers,,,24,PHX,Phoenix,
145,145,145,145,145,145,518,Alaa,,,Abdelnaby,,,25,POR,Portland,
146,146,146,146,146,146,519,Adrian,,,Caldwell,,,11,HOU,Houston,
147,147,147,147,147,147,520,Vernon,,,Maxwell,,,11,HOU,Houston,
148,148,148,148,148,148,521,Doug,,,West,,,18,MIN,Minnesota,
149,149,149,149,149,149,522,Tony,,,Campbell,,,18,MIN,Minnesota,
150,150,150,150,150,150,523,Roy,,,Tarpley,,,7,DAL,Dallas,
151,151,151,151,151,151,524,Anthony,,,Cook,,,8,DEN,Denver,
152,152,152,152,152,152,525,Todd,,,Lichti,,,8,DEN,Denver,
153,153,153,153,153,153,526,Tom,,,Tolbert,,,10,GSW,Golden State,
154,154,154,154,154,154,527,Billy,,,Thompson,,,16,MIA,Miami,
155,155,155,155,155,155,528,Byron,,,Irvin,,,30,WAS,Washington,
156,156,156,156,156,156,529,Mark,,,Price,,,6,CLE,Cleveland,
157,157,157,157,157,157,530,Dominique,,,Wilkins,,,1,ATL,Atlanta,
158,158,158,158,158,158,531,Dennis,,,Scott,,,22,ORL,Orlando,
159,159,159,159,159,159,532,Terry,,,Catledge,,,22,ORL,Orlando,
160,160,160,160,160,160,533,Bill,,,Laimbeer,,,9,DET,Detroit,
161,161,161,161,161,161,534,William,,,Bedford,,,9,DET,Detroit,
162,162,162,162,162,162,535,Ricky,,,Pierce,,,17,MIL,Milwaukee,
163,163,163,163,163,163,536,Blue,,,Edwards,,,29,UTA,Utah,
