,game_id,team_id,points,opponent_points,postseason
2532,858534,1,123,105,False
1847,858116,1,125,129,False
791,857528,1,104,95,False
790,857516,1,119,125,False
2753,891700,1,99,112,True
125,857392,1,109,126,False
1100,858433,1,129,107,False
1875,857470,1,112,99,False
1692,857543,1,109,121,False
1897,857734,1,116,120,False
2412,858341,1,122,120,False
354,857492,1,124,121,False
2759,892495,1,106,119,True
62,858232,1,101,122,False
1093,858366,1,125,134,False
721,857751,1,123,122,False
718,857619,1,115,106,False
922,857979,1,105,114,False
258,858266,1,129,127,False
933,858249,1,136,119,False
695,857570,1,101,126,False
108,857380,1,108,98,False
2001,857904,1,141,143,False
1924,858148,1,108,128,False
940,858303,1,129,111,False
1845,858079,1,137,132,False
908,857875,1,107,108,False
881,858052,1,118,122,False
2481,858354,1,114,107,False
2477,858326,1,128,130,False
2500,858508,1,107,124,False
303,857810,1,126,125,False
1725,857861,1,114,129,False
1766,858216,1,138,144,False
895,857712,1,114,121,False
1770,857430,1,136,112,False
845,858207,1,125,106,False
162,858232,1,101,122,False
2445,858314,1,109,117,False
2739,890550,1,116,105,False
1789,857603,1,102,114,False
1156,858544,1,134,116,False
2440,858574,1,114,120,False
1714,857721,1,89,113,False
1518,857758,1,103,128,False
1793,857654,1,101,104,False
1805,857784,1,125,106,False
1708,857668,1,125,108,False
1104,858474,1,119,123,False
1152,858558,1,131,136,False
2006,857944,1,114,130,False
1087,857360,1,117,107,False
208,857824,1,108,110,False
25,857392,1,109,126,False
2559,858417,1,118,126,False
985,858280,1,116,119,False
2285,857455,1,109,139,False
1349,892502,1,130,122,True
2283,857438,1,115,123,False
2678,857991,1,113,111,False
1007,858461,1,143,130,False
555,857644,1,98,106,False
500,858011,1,121,113,False
1622,857770,1,124,135,False
2188,858446,1,124,125,False
544,857589,1,124,122,False
8,857380,1,108,98,False
1618,857758,1,103,128,False
2213,857558,1,121,106,False
1318,858406,1,127,119,False
1284,858045,1,139,124,False
2252,857958,1,112,108,False
2087,858171,1,107,116,False
1354,892507,1,121,129,True
1740,857996,1,114,103,False
650,857681,1,117,109,False
1232,857842,1,130,105,False
950,858377,1,115,136,False
2035,858123,1,132,100,False
2293,857632,1,122,128,False
2585,857419,1,118,113,False
2034,858139,1,115,108,False
1363,892517,1,120,128,True
237,858102,1,113,120,False
963,858484,1,120,118,False
669,858185,1,116,107,False
2778,892512,1,119,117,True
2302,858065,1,100,111,False
1236,857889,1,121,130,False
967,858524,1,132,130,False
2083,857929,1,120,117,False
459,857503,1,117,98,False
2688,858031,1,130,122,False
1020,858574,2,120,114,False
945,858343,2,115,93,False
1613,857702,2,103,92,False
1719,857765,2,122,118,False
1605,857605,2,107,121,False
213,857860,2,126,102,False
898,857786,2,109,117,False
1016,858545,2,97,93,False
2238,857761,2,93,113,False
262,857428,2,123,132,False
1006,858457,2,120,95,False
2611,857493,2,133,118,False
2513,858366,2,134,125,False
223,857975,2,125,114,False
909,857827,2,112,117,False
1716,857744,2,107,123,False
1677,858260,2,110,107,False
1831,858017,2,130,118,False
1745,858049,2,106,104,False
2352,858246,2,142,138,False
668,858183,2,106,99,False
2334,857903,2,111,123,False
654,857847,2,139,118,False
1298,858195,2,127,116,False
2058,857579,2,117,109,False
636,857667,2,134,121,False
468,857620,2,125,112,False
471,857653,2,140,105,False
613,858096,2,125,121,False
2288,857506,2,109,106,False
600,858316,2,129,131,False
2115,857570,2,126,101,False
2281,857465,2,113,114,False
560,857680,2,116,120,False
2272,858273,2,94,109,False
2186,858416,2,117,118,False
2255,857984,2,109,98,False
510,858228,2,127,109,False
536,857513,2,128,112,False
2234,857709,2,116,110,False
679,858290,2,117,113,False
2007,857945,2,121,116,False
2005,857930,2,124,95,False
690,857479,2,123,119,False
856,858307,2,105,115,False
1762,858165,2,111,99,False
1767,858224,2,125,131,False
2468,858535,2,101,103,False
2453,858376,2,109,111,False
330,858089,2,117,120,False
333,858128,2,139,96,False
831,857961,2,107,99,False
345,858210,2,119,109,False
2432,858501,2,140,99,False
2491,858434,2,132,109,False
1819,857916,2,117,150,False
359,857533,2,131,112,False
1868,858403,2,126,112,False
365,857648,2,130,121,False
1882,857540,2,117,108,False
2410,858328,2,114,118,False
386,857801,2,92,95,False
734,857835,2,121,109,False
711,857555,2,126,122,False
707,858142,2,94,106,False
1984,857727,2,125,98,False
2430,858487,2,111,130,False
1046,858506,2,122,114,False
1419,1007828,2,84,103,True
2667,858066,2,98,113,False
1143,858468,2,137,93,False
2801,972857,2,114,102,True
1534,857385,2,126,120,False
1434,857385,2,126,120,False
1429,857375,2,111,104,False
1379,972853,2,115,119,True
1529,857375,2,111,104,False
1558,857402,2,102,120,False
1339,892495,2,119,106,True
1410,1007816,2,116,123,True
1412,1007818,2,105,111,True
1358,892512,2,117,119,True
1513,857702,2,103,92,False
1417,1007824,2,110,97,True
1505,857605,2,107,121,False
2810,972866,2,95,86,True
2805,972860,2,115,116,True
2838,1007826,2,104,103,True
1135,858560,2,121,102,False
1269,858034,2,121,118,False
2764,858390,2,104,102,False
1333,891700,2,112,99,True
2836,1007822,2,116,99,True
1210,857634,2,122,104,False
2774,892507,2,129,121,True
1458,857402,2,102,120,False
1397,972869,2,112,88,True
2695,858069,2,95,98,False
1055,857448,2,112,94,False
2783,892517,2,128,120,True
2834,1007820,2,102,128,True
2684,858000,2,122,106,False
1380,972856,2,121,87,True
1172,857881,2,116,110,False
2769,892502,2,122,130,True
1389,972863,2,103,115,True
1169,857355,2,126,117,False
926,858008,3,102,112,False
2698,858042,3,117,106,False
1916,857951,3,102,101,False
56,858163,3,116,124,False
1923,858033,3,112,117,False
1507,857622,3,112,98,False
1509,857629,3,117,128,False
1680,858288,3,118,142,False
897,857722,3,122,116,False
910,857841,3,118,100,False
692,857451,3,116,109,False
1713,857785,3,119,116,False
2380,858466,3,129,100,False
1955,857487,3,98,94,False
876,857657,3,109,102,False
285,857646,3,111,97,False
2743,890554,3,101,121,True
1811,857857,3,125,117,False
340,858149,3,125,123,False
93,857702,3,92,103,False
835,857984,3,98,109,False
1782,857577,3,109,107,False
1780,857538,3,110,95,False
2447,858335,3,118,96,False
2745,858381,3,107,121,False
2450,858352,3,124,123,False
1465,857417,3,99,110,False
2463,858469,3,106,119,False
357,857520,3,112,85,False
1469,858055,3,120,116,False
1188,857441,3,116,125,False
1854,858255,3,87,131,False
1871,857476,3,128,86,False
1473,858077,3,133,137,False
304,857828,3,143,113,False
1184,858172,3,112,116,False
780,858564,3,101,84,False
776,858519,3,111,110,False
1187,857458,3,99,108,False
1753,858128,3,96,139,False
2757,892493,3,84,96,True
107,857371,3,109,105,False
2415,858369,3,122,120,False
1790,857612,3,106,115,False
375,857685,3,114,105,False
1123,858431,3,109,115,False
1174,857420,3,125,129,False
1678,858266,3,127,129,False
249,858186,3,116,105,False
937,858282,3,104,118,False
2366,858351,3,113,118,False
1565,857417,3,99,110,False
1249,858086,3,122,130,False
477,857734,3,120,116,False
2621,857552,3,103,116,False
1351,892504,3,88,96,True
1252,858103,3,122,115,False
1253,858115,3,121,104,False
193,857702,3,92,103,False
1346,892499,3,97,102,True
2276,858307,3,115,105,False
2146,857757,3,112,100,False
2079,857918,3,112,121,False
557,857666,3,113,107,False
1569,858055,3,120,116,False
1626,857805,3,124,121,False
1573,858077,3,133,137,False
2640,857746,3,136,133,False
507,858200,3,98,101,False
7,857371,3,109,105,False
156,858163,3,116,124,False
1026,858322,3,102,86,False
1609,857629,3,117,128,False
1607,857622,3,112,98,False
2659,857894,3,123,106,False
1053,857359,3,108,130,False
1002,858424,3,102,108,False
466,857597,3,127,115,False
1241,857913,3,139,103,False
952,858400,3,96,101,False
421,858229,3,116,105,False
1556,857404,3,124,134,False
1672,858217,3,106,124,False
2029,858543,3,123,108,False
1080,858508,3,124,107,False
2337,857939,3,108,102,False
2051,857560,3,121,153,False
2328,857875,3,108,107,False
958,858450,3,114,116,False
2686,858019,3,98,106,False
964,858498,3,123,114,False
2049,857509,3,94,96,False
1456,857404,3,124,134,False
968,858536,3,102,107,False
973,858577,3,105,134,False
640,857627,4,110,108,False
1445,857392,4,126,109,False
351,857437,4,120,113,False
381,857733,4,102,121,False
411,858017,4,118,130,False
1989,857830,4,105,126,False
6,857379,4,112,124,False
346,858216,4,144,138,False
344,858206,4,105,119,False
1192,857454,4,108,115,False
2348,858028,4,122,117,False
2308,858135,4,98,114,False
1216,857694,4,96,105,False
54,858085,4,111,96,False
2310,858122,4,115,124,False
535,857487,4,94,98,False
2244,857846,4,134,130,False
2000,857934,4,138,109,False
1224,857776,4,134,141,False
341,858160,4,113,119,False
1330,858425,4,115,109,False
1272,858106,4,122,117,False
374,857706,4,117,119,False
371,857616,4,107,101,False
2105,858331,4,112,105,False
1891,857653,4,105,140,False
1239,857894,4,106,123,False
2045,857541,4,115,132,False
2317,857722,4,116,122,False
1958,857526,4,112,117,False
356,857502,4,100,108,False
364,857567,4,113,125,False
396,857879,4,121,113,False
2331,857868,4,105,110,False
1904,857799,4,115,119,False
1264,858000,4,106,122,False
401,857923,4,107,131,False
2063,857806,4,125,119,False
460,857515,4,95,105,False
2269,858254,4,121,113,False
2301,858052,4,122,118,False
385,857784,4,106,125,False
811,857686,4,117,116,False
986,858295,4,91,105,False
1759,858144,4,112,118,False
978,858230,4,120,110,False
997,858383,4,104,120,False
106,857379,4,112,124,False
2625,857584,4,122,132,False
1645,857981,4,114,124,False
1735,857954,4,111,116,False
2622,857559,4,112,105,False
1562,857414,4,131,134,False
219,857910,4,115,121,False
1000,858408,4,82,121,False
988,858302,4,106,117,False
2498,858488,4,137,134,False
2718,858195,4,116,127,False
1727,857854,4,113,124,False
1717,857750,4,113,131,False
2610,857432,4,93,113,False
984,858276,4,117,106,False
1652,858064,4,102,120,False
2682,857971,4,120,132,False
1111,858520,4,108,128,False
2601,857366,4,129,102,False
1083,858533,4,100,120,False
1545,857392,4,126,109,False
2605,858177,4,104,118,False
2628,857599,4,102,106,False
948,858364,4,111,119,False
1462,857414,4,131,134,False
949,858372,4,108,114,False
2446,858322,4,86,102,False
2580,858570,4,106,95,False
934,858259,4,108,103,False
1018,858562,4,109,112,False
2732,858346,4,113,103,False
154,858085,4,111,96,False
1013,858510,4,91,121,False
2582,857464,4,88,106,False
2545,858448,4,96,115,False
2461,858455,4,117,109,False
1008,858471,4,110,104,False
1572,858072,4,97,128,False
1683,857478,4,99,130,False
1472,858072,4,97,128,False
138,857402,5,120,102,False
2037,857425,5,124,129,False
453,857436,5,109,114,False
38,857402,5,120,102,False
439,858304,5,104,125,False
1671,858203,5,89,97,False
434,858255,5,131,87,False
227,857994,5,110,124,False
661,857870,5,119,113,False
647,857782,5,91,114,False
658,857852,5,118,133,False
1669,858186,5,105,116,False
2785,894221,5,91,102,False
39,857415,5,124,109,False
659,857918,5,121,112,False
85,857605,5,121,107,False
2607,857458,5,108,99,False
2664,857937,5,126,112,False
1036,858412,5,113,99,False
2224,857635,5,119,123,False
1035,858401,5,139,131,False
537,857498,5,111,97,False
2251,857961,5,99,107,False
1574,858085,5,96,111,False
2651,857818,5,113,103,False
541,857547,5,103,126,False
1628,857824,5,110,108,False
501,858002,5,132,118,False
184,857581,5,107,108,False
185,857605,5,121,107,False
2273,858285,5,98,104,False
2162,857908,5,134,145,False
2151,857800,5,126,150,False
2142,857672,5,113,132,False
2141,857751,5,122,123,False
17,857383,5,96,128,False
2110,857479,5,119,123,False
476,857726,5,115,111,False
475,857742,5,144,115,False
2615,857495,5,104,113,False
2065,857659,5,114,107,False
979,858237,5,100,112,False
2306,858104,5,128,109,False
2022,858452,5,124,96,False
139,857415,5,124,109,False
1907,857837,5,118,117,False
1107,858496,5,110,121,False
117,857383,5,96,128,False
739,857887,5,132,118,False
1112,858534,5,105,123,False
888,858135,5,114,98,False
1733,857972,5,97,100,False
882,858065,5,111,100,False
1477,858173,5,89,104,False
2482,858365,5,119,111,False
300,857774,5,120,128,False
1423,857374,5,100,102,False
1474,858085,5,96,111,False
2730,858235,5,113,117,False
2474,857361,5,116,108,False
851,858269,5,102,82,False
309,857893,5,102,103,False
2464,858482,5,112,124,False
846,858218,5,91,100,False
1834,858032,5,126,108,False
1162,857464,5,106,88,False
2448,858342,5,117,96,False
842,858167,5,128,104,False
84,857581,5,107,108,False
2433,858510,5,121,91,False
1577,858173,5,89,104,False
1153,858575,5,103,81,False
2741,890552,5,109,105,False
1523,857374,5,100,102,False
1101,858445,5,91,116,False
523,858517,5,128,107,False
1982,857698,5,101,110,False
247,858150,5,129,121,False
2533,858559,5,115,112,False
2693,858070,5,110,116,False
2375,858426,5,109,105,False
942,858320,5,122,125,False
242,858118,5,103,108,False
1978,857690,5,111,119,False
404,857946,5,126,118,False
1095,858395,5,114,117,False
1968,857615,5,118,113,False
1198,857521,5,111,115,False
1965,857565,5,110,124,False
2358,858294,5,117,115,False
2389,858550,5,92,105,False
2381,858470,5,118,108,False
1340,892496,6,107,90,True
1682,857428,6,132,123,False
929,858213,6,117,109,False
1147,858504,6,116,130,False
1537,857383,6,128,96,False
1437,857383,6,128,96,False
1360,892514,6,95,106,True
547,857594,6,113,87,False
1773,857494,6,114,100,False
1167,857618,6,114,96,False
941,858315,6,114,90,False
1160,858570,6,95,106,False
1285,858038,6,114,120,False
1215,857689,6,107,96,False
2220,857568,6,98,113,False
1802,857775,6,105,90,False
1674,858231,6,112,118,False
524,858527,6,115,105,False
1772,857481,6,112,88,False
1326,890555,6,97,101,True
861,857465,6,114,113,False
998,858393,6,109,118,False
1655,858087,6,113,95,False
730,857794,6,100,99,False
980,858243,6,109,115,False
1945,858531,6,117,113,False
1651,858025,6,114,115,False
742,857908,6,145,134,False
1689,857525,6,120,127,False
1068,858402,6,117,94,False
750,858014,6,113,103,False
1243,857926,6,90,88,False
974,857739,6,95,106,False
2099,858290,6,113,117,False
2042,857531,6,101,106,False
1914,857943,6,108,121,False
1729,857893,6,103,102,False
990,858328,6,118,114,False
2106,858339,6,104,100,False
1250,858109,6,122,99,False
1737,857983,6,119,113,False
1642,857957,6,112,98,False
1257,858136,6,128,113,False
2137,857630,6,102,117,False
2140,857656,6,88,100,False
1205,857584,6,132,122,False
862,857445,6,121,108,False
1076,858472,6,108,91,False
676,858270,6,118,93,False
1219,857716,6,116,102,False
1292,858176,6,113,85,False
2344,858001,6,102,110,False
2437,858554,6,118,94,False
95,857745,6,110,102,False
2378,858450,6,116,114,False
335,858119,6,97,100,False
50,858047,6,114,102,False
2369,858372,6,114,108,False
2775,892508,6,93,102,True
2305,858091,6,100,112,False
2770,892503,6,79,99,True
2694,858067,6,103,105,False
2707,858194,6,118,107,False
2314,857704,6,81,92,False
2723,858168,6,114,91,False
2508,857362,6,105,108,False
2320,857759,6,111,112,False
273,857549,6,124,129,False
2512,858357,6,115,119,False
251,858203,6,97,89,False
2338,857970,6,114,116,False
2543,858431,6,115,109,False
2353,858249,6,119,136,False
